"department","department_code","course_title","course_number","course_description","course_hours"
"Asian American Studies","AAS","Intro Asian American Studies","100","Interdisciplinary introduction to the basic concepts and approaches in Asian American Studies. Surveys the various dimensions of Asian American experiences including history, social organization, literature, arts, and politics.","3 hours.""department","department_code","course_title","course_number","course_description","course_hours"
"Asian American Studies","AAS","Introduction to Arab American Studies","105","Interdisciplinary introduction to the basic concepts and approaches in Arab American Studies. Addresses the issues of history, race, social organization, politics, literature, and art related to Arab American experiences.","3 hours.""department","department_code","course_title","course_number","course_description","course_hours"
"Asian American Studies","AAS","Intro to Asian Am Pop Culture","120","Introductory understanding of the way U.S. popular culture has affected Asian Americans and the contributions Asian Americans have made to U.S. media and popular culture since the mid 1880's.","3 hours.""department","department_code","course_title","course_number","course_description","course_hours"
"Asian American Studies","AAS","Undergraduate Open Seminar","199","May be repeated to a maximum of 6 hours.","1 TO 5 hours.""department","department_code","course_title","course_number","course_description","course_hours"
"Agricultural and Biological Engineering","ABE","Intro Agric & Biological Engrg","100","Introduction to the engineering profession with career opportunities in the agricultural and biological engineering discipline. Concepts necessary for becoming a successful engineer including time management, design concepts, ethics, and teambuilding. Familiarization with laboratories, computer facilities, internships, and other opportunities. Team design experience. Emphasis on technical communication and problem-solving skills as well as career planning.","1 hours.""department","department_code","course_title","course_number","course_description","course_hours"
"Asian American Studies","AAS","U.S. Race and Empire","200","Invites students to examine histories and narratives of U.S. race and empire, drawing upon multiple theoretical and methodological works in Asian American studies and related fields. Same as LLS 200.","3 hours.""department","department_code","course_title","course_number","course_description","course_hours"
"Asian American Studies","AAS","US Racial & Ethnic Politics","201","Same as AFRO 201, LLS 201, and PS 201. See PS 201.","3 hours.""department","department_code","course_title","course_number","course_description","course_hours"
"Agricultural and Biological Engineering","ABE","ABE Principles: Biological","141","Principles of biology relevant to agriculture, food, energy, and the environment, including microbiology, biochemistry, genetics, plant and animal systems, and ecosystems. Case studies of engineering applications where these biological principles have been taken into account or leveraged for the purpose of design.","2 hours.""department","department_code","course_title","course_number","course_description","course_hours"
"Agricultural and Biological Engineering","ABE","Undergraduate Open Seminar","199","May be repeated to a maximum of 12 hours.","1 TO 5 hours.""department","department_code","course_title","course_number","course_description","course_hours"
"Asian American Studies","AAS","Asian Americans and the Arts","211","Examination of Asian American artistic expressions in the visual and the performing arts providing historical, theoretical, and conceptual foundations of understanding the history of various art genres in Asian American communities. Prerequisite: AAS 100 or AAS 120, or consent of instructor.","3 hours.""department","department_code","course_title","course_number","course_description","course_hours"
"Agricultural and Biological Engineering","ABE","ABE Principles: Machine Syst","223","Machinery systems for off-road applications: internal combustion engines; fluid power; tractors, and traction; chemical application; grain harvesting. Prerequisite: One of MATH 220, MATH 221, MATH 234.","2 hours.""department","department_code","course_title","course_number","course_description","course_hours"
"Asian American Studies","AAS","US Citizenship Comparatively","215","Examines the racial, gendered, and sexualized aspects of US citizenship historically and comparatively. Interdisciplinary course taught from a humanities perspective. Readings draw from critical legal studies, history, literature, literary criticism, and ethnography. Same as AFRO 215, AIS 295, GWS 215, and LLS 215. Prerequisite: One of: AAS 100, AAS 120, AFRO 100 AIS 101, GWS 250, LLS 100.","3 hours.""department","department_code","course_title","course_number","course_description","course_hours"
"Agricultural and Biological Engineering","ABE","ABE Principles: Soil & Water","224","Engineering principles and methods of design and management of natural resources and environmental systems; watershed and hydrologic cycle; infiltration and surveying; runoff and erosion; water quality; non-point source pollution. Prerequisite: One of MATH 220, MATH 221, MATH 234.","2 hours.""department","department_code","course_title","course_number","course_description","course_hours"
"Accountancy","ACCY","Undergraduate Open Seminar","199","May be repeated.","1 TO 5 hours.""department","department_code","course_title","course_number","course_description","course_hours"
"Asian American Studies","AAS","Asian Am Historical Sociology","224","Explores concepts of colonization, international labor migration, race, nation, assimilation, and class formation through socio-historical examinations of diverse groups categorized as Asian Americans. Same as SOC 224. Prerequisite: AAS 100.","3 hours.""department","department_code","course_title","course_number","course_description","course_hours"
"Agricultural and Biological Engineering","ABE","ABE Principles: Bioenvironment","225","Principles of environmental control for biological structures: psychrometrics; mass and heat transfer through buildings; ventilation requirements. Prerequisite: One of MATH 220, MATH 221, MATH 234.","2 hours.""department","department_code","course_title","course_number","course_description","course_hours"
"Accountancy","ACCY","Fundamentals of Accounting","200","Survey course in the principles of accounting for students registered in schools and colleges other than the College of Business. Credit is not given for both ACCY 200 and either ACCY 201 or ACCY 202. Prerequisite: Sophomore standing.","3 hours.""department","department_code","course_title","course_number","course_description","course_hours"
"Asian American Studies","AAS","Asian American Youth in Film","246","Examines both mainstream and independent films and documentaries representing and/or produced by Asian American youth. Explores the role of multiculturalism and diversity issues in informing young people's experiences.","3 hours.""department","department_code","course_title","course_number","course_description","course_hours"
"Agricultural and Biological Engineering","ABE","ABE Principles: Bioprocessing","226","Principles of bioprocess engineering applied to food and agricultural products: material balances; fluid flow; heat and mass transfers; drying; evaporation; fermentation; distillation; process simulation. Prerequisite: One of MATH 220, MATH 221, MATH 234.","2 hours.""department","department_code","course_title","course_number","course_description","course_hours"
"Accountancy","ACCY","Accounting and Accountancy I","201","Introduction to the role of accounting information in establishing organization objectives and goals and identification of strategies to best achieve such objectives and goals. Topics focus on the utility of information necessary for the formation, execution and monitoring of the variety of contracts embedded in organization strategies. Projects facilitate self-discovery of knowledge and development of a variety of professional skills and attitudes. Credit is not given for both ACCY 201 and ACCY 200. Prerequisite: ECON 102, and credit or concurrent enrollment in ECON 103.","3 hours.""department","department_code","course_title","course_number","course_description","course_hours"
"Asian American Studies","AAS","Asian American Ethnic Groups","250","Intensive interdisciplinary study of a particular Asian American Ethnic group (specific ethnic group focus will change every semester). May be repeated in the same or separate terms to a maximum of 9 hours. Prerequisite: Any AAS course at the 100- or 200-level or consent of instructor.","3 hours.""department","department_code","course_title","course_number","course_description","course_hours"
"Agricultural and Biological Engineering","ABE","Transport Processes in ABE","341","Principles of transport processes involving momentum, heat, and mass as applied to biological systems in agriculture, food, energy, and the environment. Credit is not given for both ABE 341 and CHBE 421. Prerequisite: ABE 223, ABE 224, ABE 225, ABE 226, and PHYS 213.","3 hours.""department","department_code","course_title","course_number","course_description","course_hours"
"Asian American Studies","AAS","Muslims in America","258","Introduction to the study of Muslims in the United States and broadly the history of Islam in the Americas. Using a comparative approach, we study how the historical narrative of African American and Latino Muslims relates to newer immigrant populations, primarily Arab American and South Asian American Muslim communities. Same as LLS 258 and REL 258.","3 hours.""department","department_code","course_title","course_number","course_description","course_hours"
"Accountancy","ACCY","Accounting and Accountancy II","202","Continuation of ACCY 201 with focus on strategic management of economic resources, together with acquisition of such resources, and financial and non-financial measures of organizational performance. Credit is not given for both ACCY 202 and ACCY 200. Prerequisite: ACCY 201 or equivalent.","3 hours.""department","department_code","course_title","course_number","course_description","course_hours"
"Agricultural and Consumer Economics","ACE","Agr Cons and Resource Econ","100","Principles of microeconomics; demand, production, supply, elasticity, markets, and trade are presented and used in the analysis of decisions of individuals relating to agricultural production, food and textile consumption, and natural resource use. Macroeconomic concepts are also introduced. Credit is not given for ACE 100 if credit for ECON 102 has been earned.","4 hours.""department","department_code","course_title","course_number","course_description","course_hours"
